Dates,SPX Index,LBUSTRUU Index
7/1/2003,1666.1,929.19
7/2/2003,1686.71,929.98
7/3/2003,1672.24,926.48
7/4/2003,#N/A,#N/A
7/7/2003,1705.93,924.54
7/8/2003,1712.63,923.81
7/9/2003,1702.68,925.11
7/10/2003,1678.38,926.3
7/11/2003,1695.47,927.95
7/14/2003,1705.77,925.47
7/15/2003,1699.59,918.64
7/16/2003,1688.19,917.82
7/17/2003,1666.14,917.7
7/18/2003,1687,917.19
7/21/2003,1660.87,910.11
7/22/2003,1677.62,911.09
7/23/2003,1678.56,912.82
7/24/2003,1665.95,911.06
7/25/2003,1696.7,910.59
7/28/2003,1692.81,906.28
7/29/2003,1680.06,901.03
7/30/2003,1677.08,903.66
7/31/2003,1682.57,895.28
8/1/2003,1664.31,894.78
8/4/2003,1669.13,898.56
8/5/2003,1637.94,895.22
8/6/2003,1641.16,902.75
8/7/2003,1653.9,905.48
8/8/2003,1660.17,906
8/11/2003,1666.01,902.67
8/12/2003,1683.61,903.49
8/13/2003,1672.9,894.56
8/14/2003,1684.59,894.27
8/15/2003,1685.17,896.01
8/18/2003,1701.6,898.42
8/19/2003,1706.33,903.41
8/20/2003,1702.79,901.49
8/21/2003,1708.24,898.09
8/22/2003,1689.83,899.81
8/25/2003,1691.01,897.43
8/26/2003,1696.46,899.44
8/27/2003,1696.86,897.56
8/28/2003,1707.87,902.25
8/29/2003,1717.32,901.89
9/1/2003,#N/A,#N/A
9/2/2003,1742.56,895.67
9/3/2003,1750.8,896.07
9/4/2003,1753.93,900.06
9/5/2003,1742.09,907.99
9/8/2003,1760.71,907.01
9/9/2003,1745.44,908.03
9/10/2003,1723.51,912.64
9/11/2003,1733.98,910.07
9/12/2003,1737.97,912.75
9/15/2003,1731.15,914.3
9/16/2003,1757.33,912.95
9/17/2003,1751.35,917.18
9/18/2003,1775.93,917.07
9/19/2003,1770.04,917.66
9/22/2003,1745.72,915.09
9/23/2003,1756.94,916.48
