,Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index,SPX Index Daily Returns,LBUSTRUU Index Daily Returns,SPGSCI Index Daily Returns,RMSG Index Daily Returns,LP01TREU Index Daily Returns,TWSE Index Daily Returns,IBOV Index Daily Returns,SASEIDX Index Daily Returns,NKY Index Daily Returns,MXDK Index Daily Returns,SMI Index Daily Returns,VNINDEX Index Daily Returns
4019,2015-12-24,4685.93,1615.22,23.53,772.96,251.11,2320.12,484.22,408.49,632.29,7885.26,1348.45,385.2,-0.0016277588275022126,0.0010846188649309418,0.0393109540636043,-0.0001552232627929362,-0.00039807332510644056,0.0035381541043451037,0.0,0.0014955379033050331,0.0007597220683432937,0.0,0.0,0.004249550277654723
4020,2015-12-25,4685.93,1615.22,23.53,772.96,251.11,2334.55,484.22,408.49,630.76,7885.26,1348.45,387.18,0.0,0.0,0.0,0.0,0.0,0.006219505887626653,0.0,0.0,-0.00241977573581742,0.0,0.0,0.005140186915887801
4021,2015-12-28,4675.51,1617.19,21.75,777.91,251.11,2327.97,496.23,412.11,636.31,7971.9,1362.14,390.08,-0.0022236781172574327,0.0012196480974728807,-0.07564810879728012,0.0064039536327882285,0.0,-0.0028185303377525894,0.02480277559786881,0.008861906044211665,0.0087989092523304,0.010987589502438722,0.010152397196781626,0.007490056304561232
4022,2015-12-29,4727.16,1610.63,24.01,787.85,251.1,2309.43,490.29,407.67,640.13,8042.64,1380.33,395.51,0.01104692322334877,-0.0040564188499805365,0.10390804597701164,0.012777827769279382,-3.982318505846294e-05,-0.007964020154898943,-0.011970255728190549,-0.010773822523112764,0.006003363140607565,0.008873668761524955,0.013353987108520204,0.013920221493027185
4023,2015-12-30,4692.82,1611.56,21.61,784.01,249.55,2295.61,476.25,405.58,640.96,8030.16,1372.63,398.6,-0.0072644039973260854,0.0005774138070195889,-0.0999583506872137,-0.004874024243193498,-0.006172839506172756,-0.005984160593739407,-0.028636113320687828,-0.005126695611646803,0.0012966116257635552,-0.0015517292829221319,-0.005578376185404799,0.007812697529771873
4024,2015-12-31,4647.73,1614.67,22.61,776.58,249.41,2315.12,476.25,406.05,640.96,8030.16,1372.63,397.81,-0.00960829522547213,0.001929807143389084,0.046274872744100026,-0.009476919937245643,-0.0005610098176718203,0.008498830376239663,0.0,0.0011588342620445502,0.0,0.0,0.0,-0.0019819367787256015
4025,2016-01-01,4647.73,1614.67,22.61,776.58,249.41,2315.12,476.25,406.05,640.96,8030.16,1372.63,397.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4026,2016-01-04,4576.14,1616.7,21.81,765.44,249.51,2233.92,446.61,397.02,625.5,7830.23,1326.31,393.62,-0.015403218345299563,0.0012572228381031447,-0.03538257408226453,-0.014344948363336663,0.0004009462331100444,-0.03507377587338878,-0.06223622047244093,-0.02223864056150726,-0.02412006989515736,-0.024897386851569614,-0.03374543759061088,-0.01053266634825667
4027,2016-01-05,4585.55,1616.38,20.84,782.95,249.83,2222.87,455.93,393.77,625.02,7905.79,1325.93,389.77,0.0020563182070478803,-0.00019793406321511053,-0.044475011462631775,0.02287573160535117,0.0012825137269047993,-0.0049464618249535075,0.020868319115111555,-0.008185985592665368,-0.0007673860911271424,0.009649780402363639,-0.0002865091871432357,-0.009781007062649283
4028,2016-01-06,4525.76,1622.49,17.22,779.75,249.3,2192.89,446.57,377.2,620.11,7834.85,1309.83,394.35,-0.013038784878586007,0.0037800517205111017,-0.1737044145873321,-0.0040871064563510195,-0.0021214425809550352,-0.013487068519526524,-0.020529467242778487,-0.04208040226528176,-0.007855748616044211,-0.008973170296706523,-0.012142420791444564,0.011750519537162996
